folder,label
extracted_frames/town 2/town2_sunny/collision/run_66,failure
extracted_frames/town 5/town5_sunny/success/run_189,success
extracted_frames/town 5/town5_sunny/success/run_125,success
extracted_frames/town 3/town3_rainy/lane_violation/run_203,failure
extracted_frames/town 5/town5_sunny/success/run_84,success
extracted_frames/town 5/town5_sunny/success/run_172,success
extracted_frames/town 3/town3_rainy/collision/run_231,failure
extracted_frames/town 2/town2_sunny/success/run_97,success
extracted_frames/town 3/town3_rainy/lane_violation/run_34,failure
extracted_frames/town 2/town2_sunny/lane_violation/run_8,failure
extracted_frames/town 3/town3_rainy/collision/run_264,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_162,failure
extracted_frames/town 2/town2_sunny/success/run_10,success
extracted_frames/town 2/town2_rainy/collision/run_8,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_173,failure
extracted_frames/town 5/town5_sunny/success/run_224,success
extracted_frames/town 3/town3_rainy/collision/run_45,failure
extracted_frames/town 2/town2_sunny/success/run_5,success
extracted_frames/town 2/town2_rainy/success/run_12,success
extracted_frames/town 5/town5_sunny/success/run_157,success
extracted_frames/town 5/town5_sunny/lane_violation/run_56,failure
extracted_frames/town 2/town2_rainy/success/run_50,success
extracted_frames/town 2/town2_sunny/success/run_62,success
extracted_frames/town 3/town3_sunny/collision/run_236,failure
extracted_frames/town 2/town2_rainy/collision/run_23,failure
extracted_frames/town 2/town2_rainy/success/run_20,success
extracted_frames/town 3/town3_rainy/collision/run_86,failure
extracted_frames/town 3/town3_sunny/collision/run_246,failure
extracted_frames/town 5/town5_rainy/collision/run_149,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_256,failure
extracted_frames/town 3/town3_rainy/collision/run_107,failure
extracted_frames/town 5/town5_sunny/success/run_226,success
extracted_frames/town 2/town2_rainy/success/run_48,success
extracted_frames/town 5/town5_rainy/collision/run_152,failure
extracted_frames/town 5/town5_sunny/success/run_223,success
extracted_frames/town 5/town5_rainy/lane_violation/run_215,failure
extracted_frames/town 2/town2_rainy/collision/run_98,failure
extracted_frames/town 5/town5_sunny/success/run_247,success
extracted_frames/town 3/town3_rainy/lane_violation/run_254,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_194,failure
extracted_frames/town 5/town5_sunny/success/run_92,success
extracted_frames/town 2/town2_sunny/success/run_39,success
extracted_frames/town 5/town5_sunny/success/run_289,success
extracted_frames/town 3/town3_rainy/lane_violation/run_49,failure
extracted_frames/town 5/town5_sunny/success/run_264,success
extracted_frames/town 3/town3_sunny/collision/run_260,failure
extracted_frames/town 2/town2_rainy/success/run_32,success
extracted_frames/town 5/town5_sunny/success/run_273,success
extracted_frames/town 5/town5_sunny/success/run_240,success
extracted_frames/town 5/town5_sunny/success/run_166,success
extracted_frames/town 2/town2_rainy/success/run_35,success
extracted_frames/town 2/town2_rainy/success/run_90,success
extracted_frames/town 5/town5_sunny/success/run_2,success
extracted_frames/town 3/town3_sunny/collision/run_112,failure
extracted_frames/town 5/town5_sunny/success/run_27,success
extracted_frames/town 2/town2_sunny/success/run_3,success
extracted_frames/town 3/town3_rainy/lane_violation/run_27,failure
extracted_frames/town 5/town5_sunny/success/run_201,success
extracted_frames/town 5/town5_sunny/lane_violation/run_147,failure
extracted_frames/town 5/town5_sunny/success/run_98,success
extracted_frames/town 5/town5_rainy/lane_violation/run_12,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_209,failure
extracted_frames/town 5/town5_sunny/success/run_151,success
extracted_frames/town 2/town2_rainy/collision/run_18,failure
extracted_frames/town 5/town5_sunny/success/run_167,success
extracted_frames/town 2/town2_sunny/success/run_2,success
extracted_frames/town 5/town5_sunny/success/run_281,success
extracted_frames/town 3/town3_rainy/lane_violation/run_219,failure
extracted_frames/town 2/town2_sunny/success/run_65,success
extracted_frames/town 2/town2_sunny/success/run_79,success
extracted_frames/town 5/town5_sunny/success/run_97,success
extracted_frames/town 3/town3_sunny/collision/run_146,failure
extracted_frames/town 3/town3_sunny/collision/run_264,failure
extracted_frames/town 3/town3_rainy/collision/run_167,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_262,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_132,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_140,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_87,failure
extracted_frames/town 5/town5_sunny/success/run_57,success
extracted_frames/town 2/town2_rainy/success/run_51,success
extracted_frames/town 2/town2_sunny/success/run_28,success
extracted_frames/town 5/town5_sunny/success/run_71,success
extracted_frames/town 2/town2_sunny/success/run_34,success
extracted_frames/town 2/town2_rainy/success/run_13,success
extracted_frames/town 3/town3_rainy/lane_violation/run_68,failure
extracted_frames/town 5/town5_sunny/success/run_184,success
extracted_frames/town 5/town5_rainy/collision/run_94,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_207,failure
extracted_frames/town 5/town5_sunny/success/run_295,success
extracted_frames/town 3/town3_rainy/lane_violation/run_94,failure
extracted_frames/town 2/town2_sunny/success/run_29,success
extracted_frames/town 3/town3_rainy/lane_violation/run_142,failure
extracted_frames/town 3/town3_sunny/lane_violation/run_234,failure
extracted_frames/town 5/town5_sunny/success/run_271,success
extracted_frames/town 3/town3_rainy/lane_violation/run_141,failure
extracted_frames/town 5/town5_sunny/success/run_234,success
extracted_frames/town 5/town5_rainy/lane_violation/run_209,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_266,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_72,failure
extracted_frames/town 5/town5_sunny/success/run_287,success
extracted_frames/town 5/town5_sunny/success/run_206,success
extracted_frames/town 3/town3_rainy/lane_violation/run_84,failure
extracted_frames/town 3/town3_sunny/collision/run_240,failure
extracted_frames/town 2/town2_rainy/lane_violation/run_95,failure
extracted_frames/town 5/town5_sunny/success/run_217,success
extracted_frames/town 5/town5_sunny/success/run_210,success
extracted_frames/town 3/town3_sunny/collision/run_247,failure
extracted_frames/town 3/town3_rainy/lane_violation/run_180,failure
extracted_frames/town 5/town5_sunny/success/run_110,success
extracted_frames/town 5/town5_sunny/success/run_7,success
extracted_frames/town 2/town2_rainy/success/run_43,success
extracted_frames/town 3/town3_sunny/lane_violation/run_49,failure
extracted_frames/town 3/town3_sunny/lane_violation/run_40,failure
extracted_frames/town 5/town5_sunny/lane_violation/run_239,failure
extracted_frames/town 5/town5_rainy/lane_violation/run_276,failure
extracted_frames/town 5/town5_sunny/success/run_12,success
extracted_frames/town 2/town2_rainy/success/run_54,success
extracted_frames/town 5/town5_sunny/success/run_120,success
